Sender,Receiver,Amount
1309,1011,123051
1309,1011,118406
1309,1011,112456
1309,1011,120593
1309,1011,166396
1309,1011,177817
1309,1011,169351
1309,1011,181038
1309,1011,133216
1309,1011,133254
1309,1011,168378
1259,1011,173233
1259,1011,171578
1259,1011,169999
1568,1011,20100
1568,1011,28962
1568,1011,24586
1568,1011,35990
1568,1011,32328
1568,1011,34730
1568,1011,25519
1568,1011,28457
1568,1011,25988
1568,1011,47175
1568,1011,20721
1568,1011,31587
1568,1011,23958
1568,1011,25781
1568,1011,23072
1568,1011,26636
1568,1011,34863
1568,1011,55043
1568,1011,76189
1568,1011,22267
1568,1011,78779
1147,1011,183242
1393,1011,30831
1147,1011,180083
1568,1011,20547
1393,1011,37551
1393,1011,31679
1393,1011,74632
1393,1011,31867
1393,1011,36127
1393,1011,65394
1393,1011,45508
1393,1011,34484
1147,1011,178851
1147,1011,178970
1393,1011,28997
1393,1011,48664
1393,1011,49862
1393,1011,36119
1393,1011,37139
1393,1011,33268
1393,1011,16726
1393,1011,21719
1393,1011,42927
1393,1011,77530
1393,1011,44710
1147,1011,156947
1393,1011,35131
1147,1011,178771
1393,1011,44797
1393,1011,36650
1393,1011,51883
1147,1011,78367
1393,1011,41090
1393,1011,42180
1393,1011,36464
1393,1011,19800
1393,1011,40245
1393,1011,26426
1147,1011,185003
1393,1011,66608
1147,1011,113569
1393,1011,37960
1393,1011,41330
1393,1011,82839
1393,1011,18787
1147,1011,116813
1393,1011,50992
1393,1011,63414
1309,1011,131720
1309,1011,171596
1309,1011,114336
1309,1011,170950
1309,1011,119202
1309,1011,171822
1309,1011,189730
1309,1011,114298
1039,1011,123215
1039,1011,122529
1039,1011,79372
1039,1011,202877
1039,1011,172191
1039,1011,68734
1039,1011,118509
1039,1011,124762
1039,1011,112491
1039,1011,104626
1039,1011,114613
1039,1011,89338
1039,1011,127326
1039,1011,175043
1210,1005,207620
1210,1005,165784
1210,1005,209354
1042,1005,162209
1042,1005,202755
1042,1005,193279
1042,1005,224320
1042,1005,186819
1042,1005,230588
1042,1005,222965
1042,1005,192992
1042,1005,176360
1042,1005,201944
1042,1005,201995
1042,1005,229485
1042,1005,146799
1042,1005,181948
1042,1005,220107
1042,1005,219834
1042,1005,218319
1042,1005,184214
1042,1005,199380
1210,1005,225395
1210,1005,211847
1210,1005,217374
1210,1005,236504
1210,1005,210004
1210,1005,216616
1042,1005,173847
1042,1005,238283
1042,1005,209977
1042,1005,200448
1042,1005,145802
1042,1005,231249
1042,1005,186767
1042,1005,153275
1042,1005,234751
1042,1005,182093
1042,1005,233898
1042,1005,232444
1042,1005,225623
1042,1005,179897
1042,1005,191020
1042,1005,218903
1042,1005,200197
1042,1005,196868
1042,1005,235102
1042,1005,205071
1042,1005,184262
1042,1005,194731
1042,1005,218265
1042,1005,201995
1042,1005,186973
1042,1005,219617
1042,1005,207943
1042,1005,208250
1210,1005,208921
1210,1005,218567
1210,1005,216616
1210,1005,225937
1210,1005,216562
1210,1005,136087
1210,1005,220734
1042,1005,208634
1042,1005,207276
1042,1005,196868
1042,1005,207720
1042,1005,203687
1042,1005,209425
1042,1005,162635
1042,1005,220007
1042,1005,147087
1042,1005,215722
1042,1005,143586
1042,1005,221110
1042,1005,155913
1042,1005,219834
1042,1005,235052
1042,1005,158120
1042,1005,229385
1042,1005,179180
1042,1005,129291
1042,1005,212785
1042,1005,174001
1210,1005,209462
1210,1005,222739
1210,1005,218512
1042,1005,211732
1042,1005,245834
1042,1005,193327
1042,1005,225839
1042,1005,208905
1042,1005,205764
1042,1005,164115
1042,1005,238963
1042,1005,197176
1042,1005,219347
1042,1005,235321
1042,1005,218452
1042,1005,227887
1042,1005,175628
1042,1005,215543
1042,1005,208389
1042,1005,164787
1042,1005,148574
1045,1018,33695
1045,1018,100212
1045,1018,121143
1045,1018,58657
1045,1018,259613
1045,1018,35213
1045,1018,57563
1045,1018,42658
1045,1018,108300
1045,1018,113852
1045,1018,31424
1045,1018,86192
1045,1018,83348
1045,1018,126315
1045,1018,123499
1045,1018,73031
1045,1018,106963
1045,1018,35296
1045,1018,51447
1045,1018,64698
1045,1018,114914
1045,1018,18633
1045,1018,74099
1045,1018,29534
1045,1018,4405
1045,1018,54915
1045,1018,110986
1045,1018,47083
1045,1018,55282
1045,1018,46807
1045,1018,107053
1045,1018,31751
1045,1018,18943
1045,1018,52141
1045,1018,19162
1045,1018,29321
1045,1018,85968
1045,1018,27587
1045,1018,33781
1045,1018,35282
1045,1018,80328
1045,1018,14968
1045,1018,58280
1045,1018,80974
1045,1018,55636
1045,1018,42680
1045,1018,77938
1045,1018,56161
1045,1018,124429
1045,1018,70073
1045,1018,60331
1045,1018,81942
1045,1018,107081
